pubs/subs,registries,average,sub messages
1/1,1,0.00039488,2125
1/2,1,0.00113527,3000
1/3,1,0.00071723,3000
1/4,1,0.00058383,6000
1/5,1,0.00071134,8000
1/10,1,0.00124939,17000
1/20,1,0.00351908,35000
