pubs/subs,registries,average,sub messages
1/1,1,0.000344,1200
1/2,1,0.00025911,1000
1/3,1,0.00041673,2000
1/4,1,0.00038757,5000
1/5,1,0.00041803,3000
1/10,1,0.00228986,11000
1/20,1,0.00150688,16000
