pubs/subs,brokers,registries,average,sub messages
5/5,1,1,0.00088756,2500
5/5,2,1,0.00103139,7500
5/5,4,1,0.0010042,2500
5/5,6,1,0.00106749,2500
5/5,8,1,0.00120303,2500
5/5,10,1,0.00094847,2500
