pubs/subs,registries,average,sub messages
5/5,1,0.00076243,10000
5/5,2,0.00029611,9000
5/5,4,0.00032777,5000
5/5,6,0.00049476,5000
5/5,8,0.0009743,10000
5/5,10,0.00741918,10000
