pubs/subs,registries,average,sub messages
1/1,1,0.00039488,2125
2/1,1,0.0002998,1000
3/1,1,0.00047011,1000
4/1,1,0.00043914,1000
5/1,1,0.00062894,1000
10/1,1,0.0240761,1000
20/1,1,0.00056333,1000
