pubs/subs,registries,average,sub messages
5/5,1,0.00104505,4000
5/5,2,0.00054528,2000
5/5,4,0.00030893,5000
5/5,6,0.00270661,5000
5/5,8,0.00174681,5000
5/5,10,0.00125285,5000
