pubs/subs,brokers,registries,average,sub messages
1/1,1,1,0.00156174,2500
2/1,1,1,0.00207717,500
3/1,1,1,0.00093466,500
4/1,1,1,0.00218241,500
6/1,1,1,0.00129751,500
8/1,1,1,0.00099326,500
10/1,1,1,0.00083683,500
