pubs/subs,registries,average,sub messages
5/5,1,0.00134735,9000
5/5,2,0.00138501,5000
5/5,4,0.00151193,5000
5/5,6,0.00045684,5000
5/5,8,0.00071383,5000
5/5,10,0.00373899,5000
