pubs/subs,registries,average,sub messages
1/1,1,0.00103528,3000
2/2,1,0.00111802,1000
3/3,1,0.00136121,3000
4/4,1,0.00103014,4000
5/5,1,0.00134735,9000
10/10,1,0.00124026,10000
20/20,1,0.00169359,20000
