pubs/subs,registries,average,sub messages
1/1,1,0.00103528,3000
1/2,1,0.00109813,2000
1/3,1,0.00100007,3000
1/4,1,0.00104493,3000
1/5,1,0.00154405,4000
1/10,1,0.00170475,12000
1/20,1,0.00214742,17000
