pubs/subs,registries,average,sub messages
1/1,1,0.000344,1200
2/2,1,0.00054486,1000
3/3,1,0.00056964,2000
4/4,1,0.00122947,6000
5/5,1,0.00104505,4000
10/10,1,0.00173546,10000
20/20,1,0.00044735,20000
