pubs/subs,registries,average,sub messages
1/1,1,0.00089027,2000
2/2,1,0.00132345,1000
3/3,1,0.00165723,2000
4/4,1,0.00139268,4000
5/5,1,0.0014351,9000
10/10,1,0.00128349,10000
20/20,1,0.00163307,20000
