pubs/subs,brokers,registries,average,sub messages
1/1,1,1,0.00104676,500
2/1,1,1,0.0018874,500
3/1,1,1,0.00119249,500
4/1,1,1,0.001001,500
6/1,1,1,0.00163695,500
8/1,1,1,0.00105615,500
10/1,1,1,0.00081096,500
